1,View device specifications,Productivity,Windchill PLM,https://intranet.philips.com/windchill,Where can I find detailed device specifications?
2,View project history files,Productivity,SharePoint Project Repository,https://intranet.philips.com/projects,Where are past project documents stored?
3,View product PowerPoints,Productivity,Global Marketing SharePoint,https://intranet.philips.com/marketing,Where can I access product presentation decks?
4,View payslips,HR and Operations,Workday,https://intranet.philips.com/workday,Where do I download my payslip?
5,View assigned tasks,HR and Operations,Workday,https://intranet.philips.com/workday,Where can I see my assigned tasks?
6,View mandatory trainings,HR and Operations,Philips Learning Portal,https://intranet.philips.com/learning,Where do I complete required trainings?
7,Log time (interns/hourly),HR and Operations,Workday Time Tracking,https://intranet.philips.com/workday-time,How do I log my working hours?
8,Download approved software,IT,Software Center Portal,https://intranet.philips.com/software-center,Where can I download approved software?
9,Lodge a software complaint,IT,IT Service Desk,https://intranet.philips.com/it-servicedesk,How do I report a software issue?
10,Lodge a hardware complaint,IT,IT Service Desk,https://intranet.philips.com/it-servicedesk,How do I report a hardware issue?
11,Request a new device,IT,IT Asset Request Portal,https://intranet.philips.com/it-assets,How do I request a new laptop or device?
12,View leave balance,HR and Operations,Workday,https://intranet.philips.com/workday,Where can I see my leave balance?
13,Apply for leave,HR and Operations,Workday,https://intranet.philips.com/workday,How do I apply for leave?
14,Access Design History File (DHF),Productivity,Windchill PLM,https://intranet.philips.com/windchill,How do I access the design history file (DHF)?